詞條	中文	音節	釋義	頁數	備註	轉寫者
Milíeb	從肩膀處往後看		minilieb, mamilieb, iliba, iliben, inilieb, inoiliben, to look behind over the shoulders. Pailieb, trans.	p171		飛揚_158-186
Milip	時間的流逝		the lapse of time, whether past or future, mi, ma, pailip, trans.	p171		飛揚_158-186
Miloslos	the same as meroobroob，找不到相應詞		mi, ma, aloslossa, neutr, the same as meroobroob. Pailoslos, trans.	p171		飛揚_158-186
mímoos	瞪		minimoos, mamimoos, imosa, imosan, inimosan, inoimosan, to look sour. Paimoos, trans, nom, aimoos.	p171		飛揚_158-186
Minannis	the same as maûronnan，找不到相應詞		and minanunnis, mi, ma, imp. inănanissa, the same as maûronnan, and maûromaroman. Painannis, act. et trans. ainanis, nom. difference.	p171		飛揚_158-186
Miog	從高處落下		miniog, mamiog, jogga, joggan, inioggan, inojogga, to fall from a high place: also an untimely birth; hence ioggan, a miscarriage. Paiog, trans. nom aiog, a fall.	p171		飛揚_158-186
Mini	這個		this. Is also a verb.	p172		飛揚_158-186
miochóoch	沉落；收縮		miniochooch, mamiochooch, iochoocha, to sink down, to shrink.	p172		飛揚_158-186
mióoch	立刻收縮		to shrink at once, nom. aiooch, aioochóoch, paidóoch, paioochoóch, tran.	p172		飛揚_158-186
Mio-a	收拾以前沒用過的新區域		mi, ma, i-o-a, to clear away new fields that have not been worked before.	p172		飛揚_158-186
Mion	收縮在一起		minion, mamion, imp. ionna, jónnan, inionnan, inoiónnan, to shrink together. Idem miko. Paion, as paiko, trans. nom. aion, albaiko.	p172		飛揚_158-186
Mipies	刺穿；穿透		minipies, mamipies, ipisa, ipisen, inipies, inoipisen, to cut through. Paipies, trans, nom. aipies.	p172		飛揚_158-186
Mírras	啜泣		minírras, mamírras, irrassa, irrassán, inirrasseh, inoirrassan, to weep, to lament. Pairras, trans. nom. airras; mirrairas, intend. nom. airrairas.	p172		飛揚_158-186
Mirrít	製作包裝繩		minirrít, mamirrít, irta, irten, inirit, inoritten, to make pack-thread. Pai-irrít, trans. nom. airrit.	p172		飛揚_158-186
Misapiel	把東西放在地上；沒有凳子、板子或其他東西		mi, ma, isapila, see summapiel.	p172		飛揚_158-186
Misi	小便		minisi, mamisi, isia, to make water. Paisi, trans. nom. isi, urine.	p172		飛揚_158-186
Mishies	用木頭生火		mi, ma, aishiesa, pas. aishiesen, &c. ja chau, to make fire with a piece of wood. Pashies, trans.	p172		飛揚_158-186
Misor	點燃		minisor, mamisor, isorra, isorren, inisor, inoisorren, to set fire to.	p172		飛揚_158-186
Misyk	懸掛；垂下；彎下身		mi, ma, asykka, asykken, ina syk, &c. to hang or lean over. Paisyk, trans, nom. aisyk, a jutting out.	p173		飛揚_158-186
Misósso	（鍋的）裂縫		mi, ma, isossa, a leak, used only of pots, pans; and not of a house or roof. Paisosso, trans. nom. aisosso.	p173		飛揚_158-186
Mita	看見		minita, mamita, ita, itan, initan, inoitan, seen; paita, to shew. Aita, sight; ma-aita, one who sees well.	p173		飛揚_158-186
Mitaita	看見		same as mita, nom. aitaita.	p173		飛揚_158-186
Mitam	借		minitam, mamitam, itamma, itammen, initam, inoitammen, to borrow. Paitam, to lend, pi, pa, ipaitam.	p173		飛揚_158-186
Mitapao	注意看		mi, ma, itapao, itanpao, initan pao, &c. nearly like mita, but it means to look on any thing with attention.	p173		飛揚_158-186
Mitaronno	光滑的；滑的		smooth, slippery.	p173		飛揚_158-186
Mitarroom	集合；集會		to meet together, the coming together of a multitude; minitarroom, mamitarroom, itarromma, &c. mitarroom o assaban o Capitein, the village collects when the chief comes.	p173		飛揚_158-186
Maûloom	集合；集會		mi, ma, aûloma, the same as mitalroom. Affloom, nom. a coming together. Don o aûloman, as don o arorroaijan a meeting house.	p173		飛揚_158-186
Mitara o tarran	兩條路匯合成為一條路		when two ways come together in one.	p173		飛揚_158-186
Mitas	整夜不歸		minitas, mamitas, itassa, itassan, initassan, inoitassan, to stay out all night.	p173		飛揚_158-186
Mitatsiel	清理房屋		to cleanse; mitatsiel o don, o ta, to cleanse the house, or the place. Ta Deos mutatsil o torro boa innai arapies, God cleanseth us from sin.	p174		飛揚_158-186
Mitebabo	仰望；向高處看		minitebabo, mamitebabo, itebahoa, to look up high.	p174		飛揚_158-186
Mitírpo	俯視；向低處看		minitírpo, mamitírpo, itírpoa, to look down below.	p174		飛揚_158-186
Mitoch	困難的		tough, not easily torn asunder.	p174		飛揚_158-186
Mittin	在背後威脅某人		minittin, mamittin, ittinna, ittinnen, inittin, inoittinnen, to threaten any one hehind his back.	p174		飛揚_158-186
Mkách	黃色；綠色		yellow, green.	p174		飛揚_158-186
Mkákach	蒼白的；像病人		pale, like sick people.	p174		飛揚_158-186
Mkár	嘶啞的		hoarse. Inkár jiri, a hoarse throat	p174		飛揚_158-186
Mo-ab	（在數量或大小上）增加		minóab, mamoab, o-abba, to increase in number or size, to cause increase. See paſab.	p174		飛揚_158-186
Móab	（產生比較級）		makes the comparative degree, as moab a mato, mario, greater, better.	p174		飛揚_158-186
Moár	（食物）溫熱的；（病人）熱的；（臉）羞愧的；生氣的；臉紅的		spoken of food, means lukewarm; spoken of a sick person, it means hot; spoken of the face, it means ashamed, angry, or rather blushing: differs from matadach.	p174		飛揚_158-186
Móas	走路		minoas, mamóas, óasa, oásan, imoasan, ino-oasan, to walk.	p174		飛揚_158-186
Moba	昏昏欲睡的		minoba, mamoba, oba, drowsy, as mba.	p175		飛揚_158-186
Mobàrri	站立		same as mbárri, to stand.	p175		飛揚_158-186
Mobe	來自或去往某地		same as mbe, either from, or to one's place. Paûbe, pi, pa, ipaûbe, to drive away.	p175		飛揚_158-186
Mocharanna	從病中恢復，痊愈		Mocharanna and mocharanna-channa, mi, ma, ocharanna-channa, pass. ocharanna-channan, recovery from sickness: the sickness, is mocharanna-channa, but the body. Ocharanna-channan. Paucharanna-channa, trans. Aûcharanna-channa, recovery.	p175		飛揚_158-186
Mochib	獨自承擔		minochib, mamochib, ochibba: ochibben, inochib, ino-ochibbeu, to carry alone. Paûchib.	p175		飛揚_158-186
Mocho	捉蝨子		mi, ma, ochoa, ochoan, inochoan, ino-ochoan, to seek lice.	p175		飛揚_158-186
Modaraû	半圓		half round, modaraſi ja eidas, the half moon.	p175		飛揚_158-186
Modaraûdaû	完整的圓；滿月		round as a circle, modaraûdaû ja eidas, the full moon.	p175		飛揚_158-186
Moddon	房屋的三角形頂		the gables of a house.	p175		飛揚_158-186
Módon	（在事情面前）磨練；强化自己		minodon, mamódon, odóma, odómen, inodon, ino-odónnen, to harden one's self against any thing.	p175		飛揚_158-186
Moeda	怎麽回事？		mi, ma, oeda, oedan, inoeda, inooedan, how is it?	p175		飛揚_158-186
Móela	露水的落下		minóela, mamóela, the fall of the dew. Oela, the dew, hoar frost.	p175		飛揚_158-186
Moelapillap	滿的，溢出的		full, overflowing.	p176		飛揚_158-186
Móetas	下雨		minóetas, mamóetas, to rain, oetássan, inoetassan, ino-oetassen. Paûtas, pi, pa, ipaûtassa, &c. Oetas, Tālū.	p176		飛揚_158-186
Mogaggimo	擾亂的；被打擾的		mi, ma, disturbed, neutr. see gûmmaggimo; applied also to the mind; magaggimo atshies, disturbed in mind.	p176		飛揚_158-186
Mokûkiach	有一點不舒服；四肢疲倦		indisposed, a little unwell, a weariness in the limbs.	p176		飛揚_158-186
Mogoch	玩		mi, ma, imp, ogocha, pas, ogóchen, inogoch, ino-ogochen, to play. Paûgoch, trans. ditto. augoch.	p176		飛揚_158-186
Mokalossikot	捲曲		mi, ma, to curl, neutr. See Rummalossikot,	p176		飛揚_158-186
Mokap	與別人見面		minokap, mamokap, okappa, okappen, inokap, ino-okappan, to meet any one.	p176		飛揚_158-186
Mokaralûkala	寬鬆的；開放的		loose, open, not close wo ven, used only of linen, stuffs, & mats.	p176		飛揚_158-186
Mogarini	像球一樣圓		and mogarinigini, round like a ball, also to roll. Pass. written mogarini. From gummarinigini.	p176		飛揚_158-186
Mokibach	有缺口的		notched; mokibach o silok, the knife is notched; kibach, a notch; okibacha, neutr, see the root ma-aukibach, notched, adject. kummibach.	p176		飛揚_158-186
Mokikiet	撕開；撕裂		torn, from kummikiet, nai. ma, okikiedda, act. et trans. aukikied. pi, pa; aukikiedda, aukikieddan, inau kikieddan, inoaûkikieddan, ipauki kidda, pas. ipaukikieddan, &c. nom. kikied, a rent; ma-aukikied, rent.	p177		飛揚_158-186
Móddon	承擔或提高載重（負擔）		means to take up a burthen. Also to increase one's burthen, and generally to increase or double a per son's work, for the first people say. moddon o paûchiep, and moddon o pásabo; and for the second, moddon o pataap, or pairien.	p177		飛揚_158-186
Moláppa	漫步；漫游		minoláppa, mamoláppa. oláppa, olappan, &c. to wander, to err.	p177		飛揚_158-186
Molliol	出於友誼在工作上幫助某人		minólliol, mamólliol, olliélla, olliéllan, inolliállan, ino-olliollan, to help any one in a work for friendship sake, and not for pay. A-olli-ol, help, as aùlliol; ma-a-olli-ol, a helper, as ma-aulliol.	p177		飛揚_158-186
Molso	房屋的支柱		the stenchions or posts, which stand by the side of houses.	p177		飛揚_158-186
Momas	醃製		minomas, mamomas, omássa. omassan, inómas, ino-omássen, to salt, to pickle.	p177		飛揚_158-186
Momach	沾上污點的頁眉		mi, ma, the running of paper in writing, but with large blots; it differs from mabad.	p177		飛揚_158-186
Momatas-ó	優異的		as matas-o.	p178		飛揚_158-186
Momo	一種鼴鼠；福爾摩斯人認爲其有毒故不會靠近		a mole, the people of Formosa consider these as poisonous, and will not approach them.	p178		飛揚_158-186
Monûch-onacho	河流滿溢，洪水		minonachonach-o, &c. the overflowing of rivers.	p178		飛揚_158-186
Mooch	用籃子携帶泥土		mi, ma, oocha, pass. oochen, &c. to carry earth in a basket.	p178		飛揚_158-186
Mood	（把稻子；小米）捆起來		mi, ma, ooda, ooden, inood, inooden, to bind sheaves or bundles, as of paddy, or millet; nom. óod, a sheaf. Ood adda, ood batur, a bundle of paddy or millet.	p178		飛揚_158-186
Mónad	燃燒		minónad, mamónad, to burn; onad, a flame.	p178		飛揚_158-186
Mopareopeó	推遲；延期		mi, ma, opareopéoa, opareopéoan, to delay. Paripareopeo, trans. aupareopeo, lingering.	p178		飛揚_158-186
Mopat	去與某人見面		minopat, mamopat, opatta, opatten, inopat, ino-opatten, to go to meet ope: otherwise written mpat, the (m) short, without a vowel. Hence simpat, as it were si (i. sossi, or sinossi) mpat.	p178		飛揚_158-186
Moor	合併		mi, ma, imp. ora, pass. oren, &c. Paoor, trans. same as gûmmoch.	p178		飛揚_158-186
Mopus	用名為arro的木製器具拔草		same as gûmmos, to pull out grass with a piece of wood called arro.	p178		飛揚_158-186
Mópa	飛行		minopa, mámopa, as mpá, aupa, nom. flight. Aupaijan, a place to fly to; aûpaijan o chaar, the resort of birds.	p178		飛揚_158-186
Mopákko	溢出		Mopákko, minopákko, mamopákko, to overflow, to run over; mopakkopákko, to overflow much.	p179		飛揚_158-186
Mopesik	瘀青的；破的		mi, ma, opesikka, neutr. bruised, broken. See pesik.	p179		飛揚_158-186
Mópiech	收縮		mi, ma, opiecha, opiechan, inopiech, ino-opiechen, to shrink; the opposite of poddik.	p179		飛揚_158-186
Móra	因被拋棄而淪為妓女的女子		whorish, a whore; mor' i slibus, an abandoned woman, given up to prostitution.	p179		飛揚_158-186
Mórab	在一天内去某地並返回		mi, ma, orabba, to go and return the same day to and from any place.	p179		飛揚_158-186
Morábbies	退潮		minorábbies, mamorábbies, the ebb of the sea: aûrabbies, nom. the ebb.	p179		飛揚_158-186
Mórach	抱怨		minorach, mamorach, orácha, iorách, iniorach, inoiorach, to grumble.	p179		飛揚_158-186
Moránni	放棄；掩飾		mi, ma, oránnia, as morrod.	p179		飛揚_158-186
Mórich	生存；維持生活		minorich, mántorich, oricha, orichen, &c. to live, to maintain one's life. Porich, trans, to support, feed, and maintain another, nom. porich, is not in use for being, but means maintenance, feeding.	p179		飛揚_158-186
Morich	繼續活著		mi, ma, oricha, neutr, has no noun, as morich, to keep alive. Porich, pi, pa, oricha, pass, orichen, inorich, ino-orichen, to feed. Aurich, a feeding; ma-aurich, a feeder. Paurich, pi, pa, ipaûricha, pass. ipáurich, inipaurich, inoipaûrich, to make lively; also to cure of disease.	p179		飛揚_158-186
Morich	身體的成長		mi, ma, origha, the growing of the body, pas, orichan, &c. Aûrich, nom. a growing. Porich, idem, ût sûpra, to feed another. Hence maaurich, such a feeder. Paurich, ùt súpra, to provide for another.	p180		飛揚_158-186
Moriedda	逃離原本的地方		minoriedda, mamoriedda, oriedda, orieddan, inorieddan, inoorieddan, to run away from those to whom we belong, as parents, partners, village, &c., Pauriedda, ditto. The root is rummiedda: ma-auriedda, such a fugitive. Aûriedda, such a flight,	p180		飛揚_158-186
Moriet a sisia	大約下午一點半		about half past one P. M.	p180		飛揚_158-186
Moróog	跌倒		minoróog, mamiróog, orogá, orogán, inorogán, ino-orogan, to fall down; mûrroog o chûbboen, to have the falling sickness. Paurong, trans	p180		飛揚_158-186
Morpies	下沉		mi, ma, to sink; the opposite of mebabo, to drive,	p180		飛揚_158-186
Morús	涼爽的；新鮮的		cool, fresh. Patrus, trans.	p180		飛揚_158-186
Mórras	寬闊的		roomy, wide	p180		飛揚_158-186
Moribal	腐爛的		decaying, dilapidating, mi, ma, ariballa. Pauribal, act. et trans. auriballa, auribailan, inaûriballan, ino-aûriballan, pi, pa, ipauriballa, pas. ipauribal, inipaùribal, inoipauribal, nom. auribál, dilapidation; ma-auribal, any thing falling to decay. Oriballa, to cause to decay.	p180		飛揚_158-186
Morikak	大步走；跨過		to stride, as the legs of a man, mi, ma, orikakka, see rummikak; also márikak, imp. arikakka, hence aurikak, a straddling; rikak, ditto. ma-aurikak, straddling.	p181		飛揚_158-186
Morraia	向上看		mi, ma, aûraia, neutr. same as macho moraia, see above; aûrraia, nom	p181		飛揚_158-186
Morrod	放棄；掩飾		minorrod, mamorrod, orródda, orródden, inórod, ino-orródden, to forsake, to dissimulate. Paûrod, see in P.	p181		飛揚_158-186
Marrûan	黑色		black.	p181		飛揚_158-186
Morroór	耕地		minorroor, mamûrroor, orrora, orroren, inorroor, ino-orróren, to scratch the ground, after the native manner; to plough. Pauroor, ditto. Aûroor, nom. a harrow, a plough.	p181		飛揚_158-186
Mórtatach	散播		to scatter, neutr. minortatach, mamortatách, ortatácha, with regard to the place. Ortatachan, inortatachen, see also pautatach, activ.	p181		飛揚_158-186
Mórzi	害怕的；受驚的		frightened, nom. aúrzi.	p181		飛揚_158-186
Mossá	走開		minossă, mamossá, osse, or monea, to go away. It has sossa, in the 3rd person, present, in the perfect si nossa, and in fut. sasóssa.	p181		飛揚_158-186
Masishien	有缺口的		or mosishien, mi, ma, osishiena, neutr. the root sûminashies, notched, indented. as certain plants. Paûsishies, to make notches, act. et trans. nom, shien, verbum, sishien, to notch.	p182		飛揚_158-186
Moot	測量		minoot, mamoot, ootta, ootten, inoot, inoóoten, to measure.	p182		飛揚_158-186
Mota	嘔吐		minóta, mamóta, ota, iota jo iota, mo-iota, to vomit. Dummocha, idem.	p182		飛揚_158-186
Motákkotákko	溢出許多		minótakkótakko, mamotakkotakko, same as mopakkopakko.	p182		飛揚_158-186
Motarram	高原		mi, ma, otárrara, neutr. high land. Paûtarrar, to exalt, imp. aûtarrar, aûtarraran, inautárraran, inoautarraran, ipaûtarrara, pas. ipaûtarrar, inipaûtarrar, inoipaûtarrar; tarrar, height of land, neutr. autarra, a rise. act. ma-autarrar, an exalter.	p182		飛揚_158-186
Motó	角落；商店		a corner, a shop.	p182		飛揚_158-186
Motozysha	用一整天做了某事		mi, ma, to be all day about a thing, as motozysha bachinan tummaap, to work the whole day with a fever. Paûtozysha, trans.	p182		飛揚_158-186
Mottti	疲倦的		wearied, done up, mi, ma.	p182		飛揚_158-186
Móûpl	（火、蠟燭）燃盡；治療傷痛		minotûp, mamûtûp. imp. otûppa, the going out of a candle or fire: also the healing of a wound. Neutraliter, &c. Patúp, act. Paûtûp, trans.	p182		飛揚_158-186
Msan	軟的，容易切開的，嘶啞的		soft, easily cut, also hoarse.	p183		飛揚_158-186
Msásan ja pattite	嘶啞著講話		to speak hoarse.	p183		飛揚_158-186
Naán	名字		the name.	p183		飛揚_158-186
Náas	上腭		the roof of the mouth.	p183		飛揚_158-186
Nai	媽媽；阿姨（作爲名字的附加）		a mother, an aunt, with the addition of the name. Nai pattalam, a stepmother.	p183		飛揚_158-186
Naida	有多少		"how many, plur.""naidaida."	p183		飛揚_158-186
Na-ies	内臟		the bowels.	p183		飛揚_158-186
Náito	七		seven.	p183		飛揚_158-186
Námo	我們		we, differs from torro, because torro, includes those with whom we speak, but namo, not so.	p183		飛揚_158-186
Nása	不久以後		by and bye, used only of the future. but people join it to ani, as aninasa, and relating the past, men write naasa.	p183		飛揚_158-186
Náttá	一		one.	p183		飛揚_158-186
Nattagsár	一掌的寬度		a handbreadth;like nárroag, sar, natorro agsar, &c. a gripe, a hand full, from gûmmesar.	p183		飛揚_158-186
Naaûpoot	亞麻		linen.	p183		飛揚_158-186
Naûqúa	雄鹿；公羊		a he goat.	p183		飛揚_158-186
Nok	鼻涕		snot.	p183		飛揚_158-186
Nok o rimi	蛋白		the white of an egg.	p183		飛揚_158-186
Nok o baron	樹脂		resin, gum.	p183		飛揚_158-186
Nomósnos	聞（某物的氣味）		minomosmos, mamomosaos. nosmossa, nosmossen, inosmos, inonasmossen, to smell after something.	p183		飛揚_158-186
Nomosnos	你聞出了什麽		onummijonor, what do you smell, or snuff after.	p184		飛揚_158-186
Nono	一種樹莓		a rasberry; written Noenó, this is plural. Noeno babo, is a smaller berry. Noeno gagil, a larger berry, like the rasberry,	p184		飛揚_158-186
Not	鼻子		the nose.	p184		飛揚_158-186
Nûmma	什麽？		what?	p184		飛揚_158-186
Nummochi	皺眉；撅嘴		minummochi, manûmmochi, nochia, nochian, inochian, to knit one's brow, to purse up one's mouth.	p184		飛揚_158-186
O	一種很强的飲料		a strong drink, used by the natives.	p184		飛揚_158-186
Obó	爪子		a claw. From Pa-obo.	p184		飛揚_158-186
Obon	鷄籠；鷄棚		a hen-coop.	p184		飛揚_158-186
Ochal	足夠的；充足的		eneugh, sufficient, praet. inochal, fut. ino-ochál. Hence the verb, paochal, pi, pa, imp. ipaochalla, pas. ipaochal, inipaochal, to satisfy, to pay.	p184		飛揚_158-186
Ocho	一種蝨子		a louse.	p184		飛揚_158-186
Odá	腸		the intestines.	p184		飛揚_158-186
Odar	(綁在毛上的)深紅色藤條		fine split rattan, died red, which people wind round the spears, darts, &c. but when painted red it is called acho.	p184		飛揚_158-186
Odor	胸骨		the breast bone.	p184		飛揚_158-186
Oéba	困倦的；昏昏欲睡的		sleepy, drowsy.	p184		飛揚_158-186
Oebásan	鹿		a deer. Sobóchen, a buck that has shed his horns. Tûmmokko, one whose horns begin to grow.	p184		飛揚_158-186
Oedán	下步怎麽辦；那又怎樣		what then & how then?	p185		飛揚_158-186
Oéla	白霜		hoar frost.	p185		飛揚_158-186
Oéno	頭；把手；柄		the head, handle, or hilt.	p185		飛揚_158-186
Oeno abi	一捆檳榔果		a bundle of areca nuts.	p185		飛揚_158-186
Oeraas	灰頭髮		grey hair, greyness. Ma-aûraas, a grey-headed old man. Oeraassen, inoeraas, to become grey.	p185		飛揚_158-186
Oetás	雨		rain.	p185		飛揚_158-186
Ogga	腰部的布		a cloth for the loins.	p185		飛揚_158-186
Oggaen	經脈		a sinew, a vein.	p185		飛揚_158-186
Oggom	螞蟻		an ant.	p185		飛揚_158-186
Olla	幾乎		as chadsia.	p185		飛揚_158-186
Omarrimárrais	打嗝		an eructation.	p185		飛揚_158-186
Ombo	聞		minobó, mamobó, oboa, oboam, inoboam, ino-oboan, to smell; activ. it is written Mibo. Aûbo, smell; other wise Ombo, is to thatch a house with grass, as dûmmalap, and gummeoch.	p185		飛揚_158-186
Ombarri	站立		minobarri, mamobarri, obarria, obarrian, invbarria, inoabarria, to stand; the (o) short bitten off.	p185		飛揚_158-186
Omparachpach	自由		(the o short) mino, maampar, iparachpacha, the being free, or not cleaving to anything, opposite to Maggo.	p185		飛揚_158-186
Omicho	從不；不再；再也不會		never, never again.	p185		飛揚_158-186
Onad	火焰		a flame. From ponnad, or monad.	p185		飛揚_158-186
Oob	烟囪的煤烟		the soot of the chimney, Hence Ooben, inoob, ino-ooben, blackened with soot. Pa-oob, to cover with soot.	p185		飛揚_158-186
Oóg	竹子		a bamboo.	p186		飛揚_158-186
Oos	鼓		a drum.	p186		飛揚_158-186
Oót	骨頭		the bones. Ma-ooten, to be bony.	p186		飛揚_158-186
Orachan	累的		tired.	p186		飛揚_158-186
Oras	灰頭髮		grey hairs. Hence oeraássen, inoeraas, ino-oerassen, to become grey.	p186		飛揚_158-186
Orien	陷入困境的事情		is said of any thing that falls in to the eyes and occasions inconvenience: hence people say respecting the eyes, Orian, inorinan.	p186		飛揚_158-186
Oroán	井		as ra-o, a well.	p186		飛揚_158-186
Oroboa	下巴		the chin.	p186		飛揚_158-186
Orrum	一種管樂器		a wind instrument where with they play; not unlike the trumpet.	p186		飛揚_158-186
Orrûm a macha	瞳仁		the apple of the eye.	p186		飛揚_158-186
Osi	白色		white.	p186		飛揚_158-186
Osi	庇護；掩蔽處		a shelter.	p186		飛揚_158-186
Osian	避難處		a refuge, from pási.	p186		飛揚_158-186
Osó	烏龜		a tortoise.	p186		飛揚_158-186
Osás	髮綹；稻草人		the tresses of hair, whether worn by the Chinese or natives. Also the bushy tops of the long grass, which are tied together to frighten animals.	p186		飛揚_158-186
Otáttan	適度做事		otattea, to do things moderately.	p186		飛揚_158-186
Otaútattán	適度做事		Otaûtattea, as otattan.	p186		飛揚_158-186
Pa	表否定		a word of denial. Patzi, there is no fish. Joined with nouns, it means to make, as pacha-och, to make a grave.Also to do ary thing, as paûcho, to louse; but mixed with other words it means to cause to do, as Papiech, to cause to fight unjustly. Pabórra, to pacify; or to suspect or accuse any one, as pachab, to accuse of theft. Pachod, one who raises an unjust suspicion.	p186		飛揚_158-186
pa	用溫暖的手巾搓揉很痠的四肢	pa	pina, papa, aá, pass. a-en, ina, inoaen, to rub a sore limb with a warm handkerchief, &c.	187		俊宏_187-215
pá-ach	烤	pá.-ach	pina-ach, papa-ach, ipa-ach-a, ipa-ach, inipa-ach, inoipa-ach, to roast.	187		俊宏_187-215
pa-aga	咳嗽	pa.-a.ga	pi, pa, a-aga, a-agan, ina-aga, ino-agán, to cough, a-aga, a cough	187		俊宏_187-215
paard	女生綁起的頭髮	pa.ard	pi, pa, aarda, aarden, inaard, inoaarden, the binding up of the hair of females. Aard, the tresses of women; also the binding of the same.	187		俊宏_187-215
páarpa	加入任何社群	pû.ar.pa	pináarpa, papáarpa, aarpa, ipa-arpa, áarpanni, ináarpan, inoaarpanni, to join together, to join one's self to any society. Cho Abasshe pinaarp'o Batshekan, those of Abasshe have joined with Batshekan. Paarpa o dippi, to weld iron together. Nota, paarpa requires that the ends come over or into one another. See summasoom.	187		俊宏_187-215
pas	阻止某人做某事；勸退；傳遞訊息	pas	pinas, papas, bássa, bássin, binas, inobassin, to stop one in any thing; to dissuade; also to carry a message. Tomada cho pináas o assabán, inachas ja o badda ernerren, who has informed the village, that the men of Favorlang have been beaten? Pábas, trans. babas, a message. Ma-ababas, a messenger.	187	本詞條有一句完整的句子；可以做構詞及句法分析。	俊宏_187-215
pa-arroos	顫抖；搖晃（指盪在吊索上搖晃的樣子）	pa.-ar.ro.os	Takeis, pi, pa, a-arrosa. Patûttotûtto, terneren, pi, pa, atuttotûttoa, the trembing and shaking of one, when slung in a sling.	188		俊宏_187-215
pa-as	打噴嚏	pa.-as	(let the last a be scarcely heard), pinass, papû-as, a-ûssa, to sneeze; a-ûssen, inû-as, ino-a-assen, a sneezing.	188		俊宏_187-215
páspot	招致給某人工作或麻煩	pû.spot	pinaspot, papaspot, ipaspotta, ipaspot, inipaspot, inoipaspot, to occasion any one work or trouble, to bother, trans. from maspot, which see.	188		俊宏_187-215
Pába	告知；揭曉；告訴；聲稱	pû.ba	pinaba, pûpaba, abaya, to give to understand, to inform, to reveal, to tell, to proclaim.Trans. from maba, which see. Parti. abaijen, inabaijen, inoabaijen, abanni, this participle is used with respect to the person who is informed; ipaba, inipaba, with respect to the business which is told.	188		俊宏_187-215
pa-attut	口吃；結巴	pa.-at.tut	pina-attat, papa-attat, to stammer, written Pa-at-at. Ternere, pa-ap-ap. Takeis, pamaama, imp. at-atta.	188		俊宏_187-215
pabach-ich	弄直；放鬆	pa.bach.-ich	pinabach-ich, papûbach-ich, abach-icha, abach-ichen, inabachich, inoabach-ichen, to unbend, to unteam. From ipabach-icha, inipabachich &c. trans. from Mabach-ich, which see.	189	墨水模糊；不確定是不是unteam。	俊宏_187-215
pabarrabarra	使某人脫光衣物	pa.bar.ra.bar.ra	pinabarrabarra, papabarrabarra, ipabarrabarra, inipabarrabarra, to strip one naked. Trans. from parrabarra, which see.	189		俊宏_187-215
pabechab	（以棉被等）蓋住某人或自己	pa.be.chab	pinûbechab, papabechab, abechabba, abechabben, inabechabben, inoabechabben, to cover anyone with a coverlet, also to cover one's self. Bûbechap, a covering.	189		俊宏_187-215
pabarras	放鬆；使變鬆	pa.bar.ras	pinabarras, papabarras, ipabarasa, to let loose. Trans. from parras, which see. Ma-ababarras, a redeemer. Ca Christus paga ma-ababarras o babosa, Christ the redeemer of mankind. Babarras, redemption.	189	本詞條有類似句子的例子，可以當作構詞和句法分析。	俊宏_187-215
pabásso	做細繩	pa.bûs.so	pinûbasso, papabasso, ipabassoa, ipabasso, inipabasso, to make strings. Trans. from passo, which see.	189		俊宏_187-215
pabassoes	親吻	pa.bas.soes	and pabasoes, see Passos.	189		俊宏_187-215
pábich-i	用水撒	pa.bûch.-i	pi, pa, abich-ia, abichi-in, inabich-i, to sparkle with water, as pashipie; abichi, nom. a sprinklling.	189		俊宏_187-215
pabóas	移除	pa.bó.as	pinaboas, papaboas, ipabóasa, ipaboas, inipaboas, inoipabóas, to remove. Trans. from maboas, which see.	189		俊宏_187-215
pábot	穿上鞋子	pû.bot	pinabot, papabot, abotta, abottan, inabottan, inoabottan, to put on shoes (this with respect to the feet, but with regard to the shoe, abot, inabot, inoabot;) ipabotta, ipabot, &c.	190		俊宏_187-215
pachanach	把箭放在弓上	pa.cha.nach	pinûchanach, papûchanagh, to place the arrow in the bow. Ipachûn-agha; changed, with regard to the arrow, into ipachanagh, inipachanagh, inoipachanagh: but with respect to the bow, achan-aghan, inachan-aghan, inoachan-aghan, see the root chûmanagh.	190		俊宏_187-215
pácharod	穿上襪子	pû.cha.rod	pinacharod, papacharod, acharoda, acharoddan, inacharoddan, inoacharoddan, to put on stockings, trans. from chummarod, which see.	190		俊宏_187-215
pacheo-ach	回來；返來；給回；（心靈的）退卻；抽離	pa.che.o.-ach	pinacheo-ach, papacheo-ach, cheo-acha, cheo-achen, chineo-ach, inocheo-achen, to come again, to return, to give back. Also applied to the mind, when it retires into itself, or withdraws itself from any thing.	190		俊宏_187-215
pachip	加上	pa.chip	pinachip, papachip, achippa, achippan, inachip, inochipan, ipachippa, ipachip, inipachip, inoipachip, to add to. Chachip, an addition, nom.	190		俊宏_187-215
pabechibechi	來回搖晃	pa.be.chi.be.chi	pinabechibechi, inopabechibechi, abechibechia, inabechibechi, inoabechibechi, the person for whom; abechibechian, inabechibechian, inoabechibechian, to swing any thing backwards and forwards, Act. ipûbechibechia, ipabechibechi, inipabechibechi, inoipabechibechi.	190		俊宏_187-215
pabórren	血流	pa.bór.ren	pi, pa, ipaboorena, the flowing of blood, act. borren ja tagga, to let blood.	191		俊宏_187-215
