lemma,zh-def,ori-def,ori-page
Mini,這個,"Mini, this. Is also a verb.",p172
miochóoch,沉落；收縮,"Miochóoch, miniochooch, mamiochooch, iochoocha, to sink down, to shrink.",p172
mióoch,立刻收縮,"mióoch, to shrink at once, nom. aiooch, aioochóoch, paidóoch, paioochoóch, tran.",p172
Mio-a,收拾以前沒用過的新區域,"Mio-a, mi, ma, i-o-a, to clear away new fields that have not been worked before.",p172
Mion,收縮在一起,"Mion, minion, mamion, imp. ionna, jónnan, inionnan, inoiónnan, to shrink together. Idem miko. Paion, as paiko, trans. nom. aion, albaiko.",p172
Mipies,刺穿；穿透,"Mipies, minipies, mamipies, ipisa, ipisen, inipies, inoipisen, to cut through. Paipies, trans, nom. aipies.",p172
Mírras,啜泣,"Mírras, minírras, mamírras, irrassa, irrassán, inirrasseh, inoirrassan, to weep, to lament. Pairras, trans. nom. airras; mirrairas, intend. nom. airrairas.",p172
Mirrít,製作包裝繩,"Mirrít, minirrít, mamirrít, irta, irten, inirit, inoritten, to make pack-thread. Pai-irrít, trans. nom. airrit.",p172
Misapiel,把東西放在地上；沒有凳子、板子或其他東西,"Misapiel, mi, ma, isapila, see summapiel.",p172
Misi,小便,"Misi, minisi, mamisi, isia, to make water. Paisi, trans. nom. isi, urine.",p172
Mishies,用木頭生火,"Mishies, mi, ma, aishiesa, pas. aishiesen, &c. ja chau, to make fire with a piece of wood. Pashies, trans.",p172
Misor,點燃,"Misor, minisor, mamisor, isorra, isorren, inisor, inoisorren, to set fire to.",p172
Misyk,懸掛；垂下；彎下身,"Misyk, mi, ma, asykka, asykken, ina syk, &c. to hang or lean over. Paisyk, trans, nom. aisyk, a jutting out.",p173
Misósso,（鍋的）裂縫,"Misósso, mi, ma, isossa, a leak, used only of pots, pans; and not of a house or roof. Paisosso, trans. nom. aisosso.",p173
Mita,看見,"Mita, minita, mamita, ita, itan, initan, inoitan, seen; paita, to shew. Aita, sight; ma-aita, one who sees well.",p173
Mitaita,看見,"Mitaita, same as mita, nom. aitaita.",p173
Mitam,借,"Mitam, minitam, mamitam, itamma, itammen, initam, inoitammen, to borrow. Paitam, to lend, pi, pa, ipaitam.",p173
Mitapao,注意看,"Mitapao, mi, ma, itapao, itanpao, initan pao, &c. nearly like mita, but it means to look on any thing with attention.",p173
Mitaronno,光滑的；滑的,"Mitaronno, smooth, slippery.",p173
Mitarroom,集合；集會,"Mitarroom, to meet together, the coming together of a multitude; minitarroom, mamitarroom, itarromma, &c. mitarroom o assaban o Capitein, the village collects when the chief comes.",p173
Maûloom,集合；集會,"Maûloom, mi, ma, aûloma, the same as mitalroom. Affloom, nom. a coming together. Don o aûloman, as don o arorroaijan a meeting house.",p173
Mitara o tarran,兩條路匯合成為一條路,"Mitara o tarran, when two ways come together in one.",p173
Mitas,整夜不歸,"Mitas, minitas, mamitas, itassa, itassan, initassan, inoitassan, to stay out all
night.",p173
Mitatsiel,清理房屋,"Mitatsiel, to cleanse; mitatsiel o don, o ta, to cleanse the house, or the place. Ta Deos mutatsil o torro boa innai
arapies, God cleanseth us from sin.",p174
Mitebabo,仰望；向高處看,"Mitehabo, minitebabo, mamitebabo, itebahoa, to look up high.",p174
Mitírpo,俯視；向低處看,"Mitírpo, minitírpo, mamitírpo, itírpoa, to look down below.",p174
Mitoch,困難的,"Mitoch, tough, not easily torn asunder.",p174
Mittin,在背後威脅某人,"Mittin, minittin, mamittin, ittinna, ittinnen, inittin, inoittinnen, to threaten any one hehind his back.",p174
Mkách,黃色；綠色,"Mkách, yellow, green.",p174
Mkákach,蒼白的；像病人,"Mkákach, pale, like sick people.",p174
Mkár,嘶啞的,"Mkár, hoarse. Inkár jiri, a hoarse throat",p174
Mo-ab,（在數量或大小上）增加,"Mo-ab, minóab, mamoab, o-abba, to increase in number or size, to cause increase. See paſab.",p174
Móab,（產生比較級）,"Móab, makes the comparative degree, as moab a mato, mario, greater, better.",p174
Moár,（食物）溫熱的；（病人）熱的；（臉）羞愧的；生氣的；臉紅的,"Moár, spoken of food, means lukewarm; spoken of a sick person, it means hot; spoken of the face, it means ashamed, angry, or rather blushing: differs from matadach.",p174
Móas,走路,"Móas, minoas, mamóas, óasa, oásan, imoasan, ino-oasan, to walk.",p174
Moba,昏昏欲睡的,"Moba, minoba, mamoba, oba, drowsy, as mba.",p175
Mobàrri,站立,"Mobàrri, same as mbárri, to stand.",p175
Mobe,來自或去往某地,"Mobe, same as mbe, either from, or to one's place. Paûbe, pi, pa, ipaûbe, to drive away.",p175
Mocharanna,從病中恢復，痊愈,"Mocharanna and mocharanna-channa, mi, ma, ocharanna-channa, pass. ocharanna-channan, recovery from sickness: the sickness, is mocharanna-channa, but the body. Ocharanna-channan. Paucharanna-channa, trans. Aûcharanna-channa, recovery.",p175
Mochib,獨自承擔,"Mochib, minochib, mamochib, ochibba: ochibben, inochib, ino-ochibbeu, to carry alone. Paûchib.",p175
Mocho,捉蝨子,"Mocho, mi, ma, ochoa, ochoan, inochoan, ino-ochoan, to seek lice.",p175
Modaraû,半圓,"Modaraû, half round, modaraſi ja eidas, the half moon.",p175
Modaraûdaû,完整的圓；滿月,"Modaraûdaû, round as a circle, modaraûdaû ja eidas, the full moon.",p175
Moddon,房屋的三角形頂,"Moddon, the gables of a house.",p175
Módon,（在事情面前）磨練；强化自己,"Módon, minodon, mamódon, odóma, odómen, inodon, ino-odónnen, to harden one's self against any thing.",p175
Moeda,怎麽回事？,"Moeda, mi, ma, oeda, oedan, inoeda, inooedan, how is it?",p175
Móela,露水的落下,"Móela, minóela, mamóela, the fall of the dew. Oela, the dew, hoar frost.",p175
Moelapillap,滿的，溢出的,"Moelapillap, full, overflowing.",p176
Móetas,下雨,"Móetas, minóetas, mamóetas, to rain, oetássan, inoetassan, ino-oetassen. Paûtas, pi, pa, ipaûtassa, &c. Oetas, Tālū.",p176
Mogaggimo,擾亂的；被打擾的,"Magaggimo, mi, ma, disturbed, neutr. see gûmmaggimo; applied also to the mind; magaggimo atshies, disturbed in mind.",p176
Mokûkiach,有一點不舒服；四肢疲倦,"Mokákiach, indisposed, a little unwell, a weariness in the limbs.",p176
Mogoch,玩,"Mogoch, mi, ma, imp, ogocha, pas, ogóchen, inogoch, ino-ogochen, to play. Paûgoch, trans. ditto. augoch.",p176
Mokalossikot,捲曲,"Mokalossikot, mi, ma, to curl, neutr. See Rummalossikot,",p176
Mokap,與別人見面,"Mokap, minokap, mamokap, okappa, okappen, inokap, ino-okappan, to meet any one.",p176
Mokaralûkala,寬鬆的；開放的,"Mokaraldikala,loose, open, not close wo ven, used only of linen, stuffs, & mats.",p176
Mogarini,像球一樣圓,"Mogarini, and mogarinigini, round like a ball, also to roll. Pass. written mogarini. From gummarinigini.",p176
Mokibach,有缺口的,"Mokibach, notched; mokibach o silok, the knife is notched; kibach, a notch; okibacha, neutr, see the root ma-aukibach, notched, adject. kummibach.",p176
Mokikiet,撕開；撕裂,"Mokikiet, torn, from kummikiet, nai. ma, okikiedda, act. et trans. aukikied. pi, pa; aukikiedda, aukikieddan, inau kikieddan, inoaûkikieddan, ipauki kidda, pas. ipaukikieddan, &c. nom. kikied, a rent; ma-aukikied, rent.",p177
Móddon,承擔或提高載重（負擔）,"Móddon, means to take up a burthen. Also to increase one's burthen, and generally to increase or double a per son's work, for the first people say. moddon o paûchiep, and moddon o pásabo; and for the second, moddon o pataap, or pairien.",p177
Moláppa,漫步；漫游,"Moláppa, minoláppa, mamoláppa. oláppa, olappan, &c. to wander, to err.",p177
Molliol,出於友誼在工作上幫助某人,"Molliol, minólliol, mamólliol, olliélla, olliéllan, inolliállan, ino-olliollan, to help any one in a work for friendship sake, and not for pay. A-olli-ol, help, as aùlliol; ma-a-olli-ol, a helper, as ma-aulliol.",p177
Molso,房屋的支柱,"Molso, the stenchions or posts, which stand by the side of houses.",p177
Momas,醃製,"Momas, minomas, mamomas, omássa. omassan, inómas, ino-omássen, to salt, to pickle.",p177
Momach,沾上污點的頁眉,"Momach, mi, ma, the running of paper in writing, but with large blots; it differs from mabad.",p177
Momatas-ó,優異的,"Momatas-ó, as matas-o.",p178
Momo,一種鼴鼠；福爾摩斯人認爲其有毒故不會靠近,"Momo, a mole, the people of Formosa consider these as poisonous, and will not approach them.",p178
Monûch-onacho,河流滿溢，洪水,"Monách-onacho, minonachonach-o, &c. the overflowing of rivers.",p178
Mooch,用籃子携帶泥土,"Mooch, mi, ma, oocha, pass. oochen, &c. to carry earth in a basket.",p178
Mood,（把稻子；小米）捆起來,"Mood, mi, ma, ooda, ooden, inood, inooden, to bind sheaves or bundles, as of paddy, or millet; nom. óod, a sheaf. Ood adda, ood batur, a bundle of paddy or millet.",p178
Mónad,燃燒,"Mónad, minónad, mamónad, to burn; onad, a flame.",p178
Mopareopeó,推遲；延期,"Mopareopeó, mi, ma, opareopéoa, opareopéoan, to delay. Paripareopeo, trans. aupareopeo, lingering.",p178
Mopat,去與某人見面,"Mópat, minopat, mamopat, opatta, opatten, inopat, ino-opatten, to go to meet ope: otherwise written mpat, the (m) short, without a vowel. Hence simpat, as it were si (i. sossi, or sinossi) mpat.",p178
Moor,合併,"Moor, mi, ma, imp. ora, pass. oren, &c. Paoor, trans. same as gûmmoch.",p178
Mopus,用名為arro的木製器具拔草,"Mopus, same as gûmmos, to pull out grass with a piece of wood called arro.",p178
Mópa,飛行,"Mópa, minopa, mámopa, as mpá, aupa, nom. flight. Aupaijan, a place to fly to; aûpaijan o chaar, the resort of birds.",p178
Mopákko,溢出,"Mopákko, minopákko, mamopákko, to overflow, to run over; mopakkopákko, to overflow much.",p179
Mopesik,瘀青的；破的,"Mopesik, mi, ma, opesikka, neutr. bruised, broken. See pesik.",p179
Mópiech,收縮,"Mópiech, mi, ma, opiecha, opiechan, inopiech, ino-opiechen, to shrink; the opposite of poddik.",p179
Móra,因被拋棄而淪為妓女的女子,"Móra, whorish, a whore; mor' i slibus, an abandoned woman, given up to prostitution.",p179
Mórab,在一天内去某地並返回,"Mórab, mi, ma, orabba, to go and return the same day to and from any place.",p179
Morábbies,退潮,"Morábbies, minorábbies, mamorábbies, the ebb of the sea: aûrabbies, nom. the ebb.",p179
Mórach,抱怨,"Mórach, minorach, mamorach, orácha, iorách, iniorach, inoiorach, to grumble.",p179
Moránni,放棄；掩飾,"Moránni, mi, ma, oránnia, as morrod.",p179
Mórich,生存；維持生活,"Mórich, minorich, mántorich, oricha, orichen, &c. to live, to maintain one's life. Porich, trans, to support, feed, and maintain another, nom. porich, is not in use for being, but means maintenance, feeding.",p179
Morich,繼續活著,"Morich, mi, ma, oricha, neutr, has no noun, as morich, to keep alive. Porich, pi, pa, oricha, pass, orichen, inorich, ino-orichen, to feed. Aurich, a feeding; ma-aurich, a feeder. Paurich, pi, pa, ipaûricha, pass. ipáurich, inipaurich, inoipaûrich, to make lively; also to cure of disease.",p179
Morich,身體的成長,"Morich, mi, ma, origha, the growing of the body, pas, orichan, &c. Aûrich, nom. a growing. Porich, idem, ût sûpra, to feed another. Hence maaurich, such a feeder. Paurich, ùt súpra, to provide for another.",p180
Moriedda,逃離原本的地方,"Moriedda, minoriedda, mamoriedda, oriedda, orieddan, inorieddan, inoorieddan, to run away from those to whom we belong, as parents, partners, village, &c., Pauriedda, ditto. The root is rummiedda: ma-auriedda, such a fugitive. Aûriedda, such a flight,",p180
Moriet a sisia,大約下午一點半,"Moriet a sisia, about half past one P. M.",p180
Moróog,跌倒,"Moróog, minoróog, mamiróog, orogá, orogán, inorogán, ino-orogan, to fall down; mûrroog o chûbboen, to have the falling sickness. Paurong, trans",p180
Morpies,下沉,"Morpies, mi, ma, to sink; the opposite of mebabo, to drive,",p180
Morús,涼爽的；新鮮的,"Morús, cool, fresh. Patrus, trans.",p180
Mórras,寬闊的,"Mórras, roomy, wide",p180
Moribal,腐爛的,"Marihul, decaying, dilapidating, mi, ma, ariballa. Pauribal, act. et trans. auriballa, auribailan, inaûriballan, ino-aûriballan, pi, pa, ipauriballa, pas. ipauribal, inipaùribal, inoipauribal, nom. auribál, dilapidation; ma-auribal, any thing falling to decay. Oriballa, to cause to decay.",p180
Morikak,大步走；跨過,"Morikak, to stride, as the legs of a man, mi, ma, orikakka, see rummikak; also márikak, imp. arikakka, hence aurikak, a straddling; rikak, ditto. ma-aurikak, straddling.",p181
Morraia,向上看,"Morraia, mi, ma, aûraia, neutr. same as macho moraia, see above; aûrraia, nom",p181
Morrod,放棄；掩飾,"Morrod, minorrod, mamorrod, orródda, orródden, inórod, ino-orródden, to forsake, to dissimulate. Paûrod, see in P.",p181
Marrûan,黑色,"Marrûan, black.",p181
Morroór,耕地,"Morroór, minorroor, mamûrroor, orrora, orroren, inorroor, ino-orróren, to scratch the ground, after the native manner; to plough. Pauroor, ditto. Aûroor, nom. a harrow, a plough.",p181
Mórtatach,散播,"Mórtatach, to scatter, neutr. minortatach, mamortatách, ortatácha, with regard to the place. Ortatachan, inortatachen, see also pautatach, activ.",p181
Mórzi,害怕的；受驚的,"Mórzi, frightened, nom. aúrzi.",p181
Mossá,走開,"Mossd, minossă, mamossá, osse, or monea, to go away. It has sossa, in the 3rd person, present, in the perfect si nossa, and in fut. sasóssa.",p181
Masishien,有缺口的,"Masishien, or mosishien, mi, ma, osishiena, neutr. the root sûminashies, notched, indented. as certain plants. Paûsishies, to make notches, act. et trans. nom, shien, verbum, sishien, to notch.",p182
Moot,測量,"Moot, minoot, mamoot, ootta, ootten, inoot, inoóoten, to measure.",p182
Mota,嘔吐,"Mota, minóta, mamóta, ota, iota jo iota, mo-iota, to vomit. Dummocha, idem.",p182
Motákkotákko,溢出許多,"Motákkotákko, minótakkótakko, mamotakkotakko, same as mopakkopakko.",p182
Motarram,高原,"Motarram, mi, ma, otárrara, neutr. high land. Paûtarrar, to exalt, imp. aûtarrar, aûtarraran, inautárraran, inoautarraran, ipaûtarrara, pas. ipaûtarrar, inipaûtarrar, inoipaûtarrar; tarrar, height of land, neutr. autarra, a rise. act. ma-autarrar, an exalter.",p182
Motó,角落；商店,"Motó, a corner, a shop.",p182
Motozysha,用一整天做了某事,"Motozysha, mi, ma, to be all day about a thing, as motozysha bachinan tummaap, to work the whole day with a fever. Paûtozysha, trans.",p182
Mottti,疲倦的,"Mottti, wearied, done up, mi, ma.",p182
Móûpl,（火、蠟燭）燃盡；治療傷痛,"Móûpl, minotûp, mamûtûp. imp. otûppa, the going out of a candle or fire: also the healing of a wound. Neutraliter, &c. Patúp, act. Paûtûp, trans.",p182
Msan,軟的，容易切開的，嘶啞的,"Msan, soft, easily cut, also hoarse.",p183
Msásan ja pattite,嘶啞著講話,"Msásan ja pattite, to speak hoarse.",p183
Naán,名字,"Naán, the name.",p183
Náas,上腭,"Náas, the roof of the mouth.",p183
Nai,媽媽；阿姨（作爲名字的附加）,"Nai, a mother, an aunt, with the addition of the name. Nai pattalam, a stepmother.",p183
Naida,有多少,"Naida, how many, plur.""naidaida.",p183
Na-ies,内臟,"Na-ies, the bowels.",p183
Náito,七,"Ndito, seven.",p183
Námo,我們,"Námo, we, differs from torro, because torro, includes those with whom we speak, but namo, not so.",p183
Nása,不久以後,"Nasa, by and bye, used only of the future. but people join it to ani, as aninasa, and relating the past, men write naasa.",p183
Náttá,一,"Náttá, one.",p183
Nattagsár,一掌的寬度,"Nattagsár, a handbreadth;like nárroag, sar, natorro agsar, &c. a gripe, a hand full, from gûmmesar.",p183
Naaûpoot,亞麻,"Naaûpoot, linen.",p183
Naûqúa,雄鹿；公羊,"Naûqúa, a buck, a he goat.",p183
Nok,鼻涕,"Nok, snot.",p183
Nok o rimi,蛋白,"Nok o rimi, the white of an egg.",p183
Nok o baron,樹脂,"Nok o baron, resin, gum.",p183
Nomósnos,聞（某物的氣味）,"Nomósnos, minomosmos, mamomosaos. nosmossa, nosmossen, inosmos, inonasmossen, to smell after something.",p183
Nomosnos,你聞出了什麽,"Nomosnos, onummijonor, what do you smell, or snuff after.",p184
Nono,一種樹莓,"Nono, a rasberry; written Noenó, this is plural. Noeno babo, is a smaller berry. Noeno gagil, a larger berry, like the rasberry,",p184
Not,鼻子,"Not, the nose.",p184
Nûmma,什麽？,"Nûmma, what ?",p184
Nummochi,皺眉；撅嘴,"Nummochi, minummochi, manûmmochi, nochia, nochian, inochian, to knit one's brow, to purse up one's mouth.",p184
O,一種很强的飲料,"O, a strong drink, used by the natives.",p184
Obó,爪子,"Obó, a claw. From Pa-obo.",p184
Obon,鷄籠；鷄棚,"Obon, a hen-coop.",p184
Ochal,足夠的；充足的,"Ochal, eneugh, sufficient, praet. inochal, fut. ino-ochál. Hence the verb, paochal, pi, pa, imp. ipaochalla, pas. ipaochal, inipaochal, to satisfy, to pay.",p184
Ocho,一種蝨子,"Ocho, a louse.",p184
Odá,腸,"Odá, the intestines.",p184
Odar,(綁在毛上的)深紅色藤條,"Odar, fine split rattan, died red, which people wind round the spears, darts, &c. but when painted red it is called acho.",p184
Odor,胸骨,"Odor, the breast bone.",p184
Oéba,困倦的；昏昏欲睡的,"Oéba, sleepy, drowsy.",p184
Oebásan,鹿,"Oebásan, a deer. Sobóchen, a buck that has shed his horns. Tûmmokko, one whose horns begin to grow.",p184
Oedán,下步怎麽辦；那又怎樣,"Oedán, what then & how then?",p185
Oéla,白霜,"Oéla, hoar frost.",p185
Oéno,頭；把手；柄,"Oéno, the head, handle, or hilt.",p185
Oeno abi,一捆檳榔果,"Oeno abi, a bundle of areca nuts.",p185
Oeraas,灰頭髮,"Oeraas, grey hair, greyness. Ma-aûraas, a grey-headed old man. Oeraassen, inoeraas, to become grey.",p185
Oetás,雨,"Oetás, rain.",p185
Ogga,腰部的布,"Ogga, a cloth for the loins.",p185
Oggaen,經脈,"Oggaen, a sinew, a vein.",p185
Oggom,螞蟻,"Oggom, an ant.",p185
Olla,幾乎,"Olla, as chadsia.",p185
Omarrimárrais,打嗝,"Omarrimárrais, an eructation.",p185
Ombo,聞,"Ombo, minobó, mamobó, oboa, oboam, inoboam, ino-oboan, to smell; activ. it is written Mibo. Aûbo, smell; other wise Ombo, is to thatch a house with grass, as dûmmalap, and gummeoch.",p185
Ombarri,站立,"Ombarri, minobarri, mamobarri, obarria, obarrian, invbarria, inoabarria, to stand; the (o) short bitten off.",p185
Omparachpach,自由,"Omparachpach, (the o short) mino, maampar, iparachpacha, the being free, or not cleaving to anything, opposite to Maggo.",p185
Omicho,從不；不再；再也不會,"Omicho, never, never again.",p185
Onad,火焰,"Onad, a flame. From ponnad, or monad.",p185
Oob,烟囪的煤烟,"Oob, the soot of the chimney, Hence Ooben, inoob, ino-ooben, blackened with soot. Pa-oob, to cover with soot.",p185
Oóg,竹子,"Oóg, a bamboo.",p186
Oos,鼓,"Oos, a drum.",p186
Oót,骨頭,"Oót, the bones. Ma-ooten, to be bony.",p186
Orachan,累的,"Orachan, tired.",p186
Oras,灰頭髮,"Oras, grey hairs. Hence oeraássen, inoeraas, ino-oerassen, to become grey.",p186
Orien,陷入困境的事情,"Orien, is said of any thing that falls in to the eyes and occasions inconvenience: hence people say respecting the eyes, Orian, inorinan.",p186
Oroán,井,"Oroán, as ra-o, a well.",p186
Oroboa,下巴,"Oroboa, the chin.",p186
Orrum,一種管樂器,"Orrum, a wind instrument where with they play; not unlike the trumpet.",p186
Orrûm a macha,瞳仁,"Orrûm a macha, the apple of the eye.",p186
Osi,白色,"Osi, white.",p186
Osi,庇護；掩蔽處,"Osi, a shelter.",p186
Osian,避難處,"Osian, a refuge, from pási.",p186
Osó,烏龜,"Osó, a tortoise.",p186
Osás,髮綹；稻草人,"Osds, the tresses of hair, whether worn by the Chinese or natives. Also the bushy tops of the long grass, which are tied together to frighten animals.",p186
Otáttan,適度做事,"Otáttan, otattea, to do things moderately.",p186
Otaútattán,適度做事,"Otaútattán, Otaûtattea, as otattan.",p186
Pa,表否定,"Pa, a word of denial. Patzi, there is no fish. Joined with nouns, it means to make, as pacha-och, to make a grave.Also to do ary thing, as paûcho, to louse; but mixed with other words it means to cause to do, as Papiech, to cause to fight unjustly. Pabórra, to pacify; or to suspect or accuse any one, as pachab, to accuse of theft. Pachod, one who raises an unjust suspicion.",p186
pa,用溫暖的手巾搓揉很痠的四肢,"pina, papa, aá, pass. a-en, ina, inoaen, to rub a sore limb with a warm handkerchief, &c.",187
pá-ach,烤,"pina-ach, papa-ach, ipa-ach-a, ipa-ach, inipa-ach, inoipa-ach, to roast.",187
pa-aga,咳嗽,"pi, pa, a-aga, a-agan, ina-aga, ino-agán, to cough, a-aga, a cough",187
paard,女生綁起的頭髮,"pi, pa, aarda, aarden, inaard, inoaarden, the binding up of the hair of females. Aard, the tresses of women; also the binding of the same.",187
páarpa,加入任何社群,"pináarpa, papáarpa, aarpa, ipa-arpa, áarpanni, ináarpan, inoaarpanni, to join together, to join one's self to any society. Cho Abasshe pinaarp'o Batshekan, those of Abasshe have joined with Batshekan. Paarpa o dippi, to weld iron together. Nota, paarpa requires that the ends come over or into one another. See summasoom.",187
pas,阻止某人做某事；勸退；傳遞訊息,"pinas, papas, bássa, bássin, binas, inobassin, to stop one in any thing; to dissuade; also to carry a message. Tomada cho pináas o assabán, inachas ja o badda ernerren, who has informed the village, that the men of Favorlang have been beaten? Pábas, trans. babas, a message. Ma-ababas, a messenger.",187
pa-arroos,顫抖；搖晃（指盪在吊索上搖晃的樣子）,"Takeis, pi, pa, a-arrosa. Patûttotûtto, terneren, pi, pa, atuttotûttoa, the trembing and shaking of one, when slung in a sling.",188
pa-as,打噴嚏,"(let the last a be scarcely heard), pinass, papû-as, a-ûssa, to sneeze; a-ûssen, inû-as, ino-a-assen, a sneezing.",188
páspot,招致給某人工作或麻煩,"pinaspot, papaspot, ipaspotta, ipaspot, inipaspot, inoipaspot, to occasion any one work or trouble, to bother, trans. from maspot, which see.",188
Pába,告知；揭曉；告訴；聲稱,"pinaba, pûpaba, abaya, to give to understand, to inform, to reveal, to tell, to proclaim.Trans. from maba, which see. Parti. abaijen, inabaijen, inoabaijen, abanni, this participle is used with respect to the person who is informed; ipaba, inipaba, with respect to the business which is told.",188
pa-attut,口吃；結巴,"pina-attat, papa-attat, to stammer, written Pa-at-at. Ternere, pa-ap-ap. Takeis, pamaama, imp. at-atta.",188
pabach-ich,弄直；放鬆,"pinabach-ich, papûbach-ich, abach-icha, abach-ichen, inabachich, inoabach-ichen, to unbend, to unteam. From ipabach-icha, inipabachich &c. trans. from Mabach-ich, which see.",189
pabarrabarra,使某人脫光衣物,"pinabarrabarra, papabarrabarra, ipabarrabarra, inipabarrabarra, to strip one naked. Trans. from parrabarra, which see.",189
pabechab,（以棉被等）蓋住某人或自己,"pinûbechab, papabechab, abechabba, abechabben, inabechabben, inoabechabben, to cover anyone with a coverlet, also to cover one's self. Bûbechap, a covering.",189
pabarras,放鬆；使變鬆,"pinabarras, papabarras, ipabarasa, to let loose. Trans. from parras, which see. Ma-ababarras, a redeemer. Ca Christus paga ma-ababarras o babosa, Christ the redeemer of mankind. Babarras, redemption.",189
pabásso,做細繩,"pinûbasso, papabasso, ipabassoa, ipabasso, inipabasso, to make strings. Trans. from passo, which see.",189
pabassoes,親吻,"and pabasoes, see Passos.",189
pábich-i,用水撒,"pi, pa, abich-ia, abichi-in, inabich-i, to sparkle with water, as pashipie; abichi, nom. a sprinklling.",189
pabóas,移除,"pinaboas, papaboas, ipabóasa, ipaboas, inipaboas, inoipabóas, to remove. Trans. from maboas, which see.",189
pábot,穿上鞋子,"pinabot, papabot, abotta, abottan, inabottan, inoabottan, to put on shoes (this with respect to the feet, but with regard to the shoe, abot, inabot, inoabot;) ipabotta, ipabot, &c.",190
pachanach,把箭放在弓上,"pinûchanach, papûchanagh, to place the arrow in the bow. Ipachûn-agha; changed, with regard to the arrow, into ipachanagh, inipachanagh, inoipachanagh: but with respect to the bow, achan-aghan, inachan-aghan, inoachan-aghan, see the root chûmanagh.",190
pácharod,穿上襪子,"pinacharod, papacharod, acharoda, acharoddan, inacharoddan, inoacharoddan, to put on stockings, trans. from chummarod, which see.",190
pacheo-ach,回來；返來；給回；（心靈的）退卻；抽離,"pinacheo-ach, papacheo-ach, cheo-acha, cheo-achen, chineo-ach, inocheo-achen, to come again, to return, to give back. Also applied to the mind, when it retires into itself, or withdraws itself from any thing.",190
pachip,加上,"pinachip, papachip, achippa, achippan, inachip, inochipan, ipachippa, ipachip, inipachip, inoipachip, to add to. Chachip, an addition, nom.",190
pabechibechi,來回搖晃,"pinabechibechi, inopabechibechi, abechibechia, inabechibechi, inoabechibechi, the person for whom; abechibechian, inabechibechian, inoabechibechian, to swing any thing backwards and forwards, Act. ipûbechibechia, ipabechibechi, inipabechibechi, inoipabechibechi.",190
pabórren,血流,"pi, pa, ipaboorena, the flowing of blood, act. borren ja tagga, to let blood.",191
pachabbechab,描述鳥類飛行時振動翅膀；拍擊空氣,"pi, pa, achabbechûbba, said of the birds as they move their wings in the flight, and thus beat the air. Chabbechab, nom. subat.",191
pachichichichi,熱鐵放進水中的嘶嘶作響聲,"pi, pa, achichichichia, to hiss, as hot iron put into the water.",191
pachiech,烤,"pinûchiech, papûchiech, achicha, achichen, inachiech, inoachichen, to roast. Trans. from chummiech.",191
pachirrûp,在事物黏接處插入任何東西,"pi, pa, achirrabba, achirrabban, inachirrabban, to insert any thing in between where things adhere; can be suitably employed for ingrafting, or incorporating.",191
pachitchit,（像動脈或心臟般）跳動,"pi, pa, achitchitta, achitchitten, inachitchit, to beat as the arteries or the heart. Ma-achitchit ja oggach, an artery.",191
páchote,處罰,"pinûchote, papûchote, chotea, chotein, chinote, to punish.",191
pad,麻（或相似的事物）,"pinûd, papûd, badda, baddaan, binaddan, linen, or such like stuff.",192
padaat,在早上做（任何事）,"pi, pa, adûata, adatten, inadûat, inoadûatten, ipadûata, ipadaat, inipûdaat, inoipadaat, to do any thing early in the morning, as chûmda. Padadaat, intende. nom.ûdaat betimes.",192
pádach-o-dach-o,穿梭在鄉野間漫步,"pinadûch-o-dûch-o, papadûch-o-dûch-o, adach-o-dach-oa, to wander through the country.",192
padûkkodûkko,點頭睡覺,"pinadûkkodakko, papadakkodakko, adakkodakkoa, to nod with sleep.",192
paddabo,躲藏；隱藏自己,"pinûddabo, papûddabo, addabóa, addaboan, inaddabóan, inoaddaboan, to keep one's self entrenched or secreted. Ma-addabo, a concealer.",192
paddach,結束；離開,"pinaddach, papaddach, addûcha, to end, to leave off.",192
páddat,劈或切成碎片,"pinaddat, papaddat, addada, addadden, inadadden, inoadadden, to hew or cut any thing into pieces.",192
paddam,（如同野獸般）在田園中吃稻、米,"pinûddam, papûddam, addammen, inaddûman, inoaddamman, to eat the paddy, or rice, in the field, as is sometimed done by wild animals.",192
paddidi,顫抖；打冷顫,"pinûddidi, padûddidi, addidia, to shiver as one in an ague. Paddidi, a shien, to chatter with the teeth.",192
paddo-oddo-ol,瘦弱的；貧乏的,meagre,193
páddik,懸於...之上（如長草懸於道路之上）,"pi, pa, addikka, to overhang, as long grass hangs over the path.",193
paddûppo,向前屈身；向前傾（頭靠在某物上）,"pinûddopo, papûddopo, addûppoa, to stoop forward; also to lean forward with the head resting on any thing; thus addopóan, inaddopoan, inoaddopoan. Paaddûppo, imp. ipaaddûppoa. Favorlang, paggûppo, trans. ipaagguppoa.",193
padirdir,顫抖,"pinadirdir, papadirdir, adirdirra, to tremble, act. from Madirdir.",193
padóch,輕敲；拍擊（如敲門）,"pinadoch, pûpadoch, adóch-a, adochen, inadoch, inoadochen, to give a rap, as at the door. Padóch-doch, to rap frequently.",193
padûllo,奮鬥；看誰是第一個完成,"pi, pa, adûlloa, adûlloan, inadûlloan, inoadûlloan, to strive, to see who shall finish first.",193
