詞條,釋義,中文,頁數
Nok o rimi,"Nok o rimi, the white of an egg.",蛋白,p183
Nok o baron,"Nok o baron, resin, gum.",樹脂,p183
Nomósnos,"Nomósnos, minomosmos, mamomosaos. nosmossa, nosmossen, inosmos, inonasmossen, to smell after something.",聞（某物的氣味）,p183
Nomosnos,"Nomosnos, onummijonor, what do you smell, or snuff after.",你聞出了什麽,p184
Nono,"Nono, a rasberry; written Noenó, this is plural. Noeno babo, is a smaller berry. Noeno gagil, a larger berry, like the rasberry,",一種樹莓,p184
Not,"Not, the nose.",鼻子,p184
Nûmma,"Nûmma, what ?",什麽？,p184
Nummochi,"Nummochi, minummochi, manûmmochi, nochia, nochian, inochian, to knit one's brow, to purse up one's mouth.",皺眉，撅嘴,p184
O,"O, a strong drink, used by the natives.",一種很强的飲料,p184
Obó,"Obó, a claw. From Pa-obo.",爪子,p184
Obon,"Obon, a hen-coop.",鷄籠，鷄棚,p184
Ochal,"Ochal, eneugh, sufficient, praet. inochal, fut. ino-ochál. Hence the verb, paochal, pi, pa, imp. ipaochalla, pas. ipaochal, inipaochal, to satisfy, to pay.",足夠的，充足的,p184
Ocho,"Ocho, a louse.",一種虱子,p184
Odá,"Odá, the intestines.",腸,p184
Odar,"Odar, fine split rattan, died red, which people wind round the spears, darts, &c. but when painted red it is called acho.",深紅色的藤條,p184
Odor,"Odor, the breast bone.",胸骨,p184
Oéba,"Oéba, sleepy, drowsy.",困倦的，昏昏欲睡的,p184
Oebásan,"Oebásan, a deer. Sobóchen, a buck that has shed his horns. Tûmmokko, one whose horns begin to grow.",鹿,p184
Oedán,"Oedán, what then & how then?",下步怎麽辦，那又怎樣,p185
Oéla,"Oéla, hoar frost.",白霜,p185
Oéno,"Oéno, the head, handle, or hilt.",頭，把手，柄,p185
Oeno abi,"Oeno abi, a bundle of areca nuts.",一捆檳榔果,p185
Oeraas,"Oeraas, grey hair, greyness. Ma-aûraas, a grey-headed old man. Oeraassen, inoeraas, to become grey.",灰頭髮,p185
Oetás,"Oetás, rain.",雨,p185
Ogga,"Ogga, a cloth for the loins.",腰部的布,p185
Oggaen,"Oggaen, a sinew, a vein.",經脈,p185
Oggom,"Oggom, an ant.",螞蟻,p185
Olla,"Olla, as chadsia.",,p185
Omarrimárrais,"Omarrimárrais, an eructation.",打嗝,p185
Ombo,"Ombo, minobó, mamobó, oboa, oboam, inoboam, ino-oboan, to smell; activ. it is written Mibo. Aûbo, smell; other wise Ombo, is to thatch a house with grass, as dûmmalap, and gummeoch.",聞,p185
Ombarri,"Ombarri, minobarri, mamobarri, obarria, obarrian, invbarria, inoabarria, to stand; the (o) short bitten off.",站立,p185
Omparachpach,"Omparachpach, (the o short) mino, maampar, iparachpacha, the being free, or not cleaving to anything, opposite to Maggo.",自由,p185
Omicho,"Omicho, never, never again.",從不，不再，再也不會,p185
Onad,"Onad, a flame. From ponnad, or monad.",火焰,p185
Oob,"Oob, the soot of the chimney, Hence Ooben, inoob, ino-ooben, blackened with soot. Pa-oob, to cover with soot.",烟囪的煤烟,p185
Oóg,"Oóg, a bamboo.",竹子,p186
Oos,"Oos, a drum.",鼓,p186
Oót,"Oót, the bones. Ma-ooten, to be bony.",骨頭,p186
Orachan,"Orachan, tired.",累的,p186
Oras,"Oras, grey hairs. Hence oeraássen, inoeraas, ino-oerassen, to become grey.",灰頭髮,p186
Orien,"Orien, is said of any thing that falls in to the eyes and occasions inconve nience: hence people say respecting the eyes, Orian, inorinan.",陷入困境的事情,p186
Oroán,"Oroán, as ra-o, a well.",井,p186
Oroboa,"Oroboa, the chin.",下巴,p186
Orrum,"Orrum, a wind instrument where with they play; not unlike the trumpet.",一種管樂器,p186
Orrûm a macha,"Orrûm a macha, the apple of the eye.",瞳仁,p186
Osi,"Osi, white.",白色,p186
Osi,"Osi, a shelter.",庇護，掩蔽處,p186
Osian,"Osian, a refuge, from pási.",避難處,p186
Osó,"Osó, a tortoise.",烏龜,p186
Osás,"Osds, the tresses of hair, whether worn by the Chinese or natives. Also the bushy tops of the long grass, which are tied together to frighten animals.",髮綹，稻草人,p186
Otáttan,"Otáttan, otattea, to do things moderately.",適度地做事,p186
Otaútattán,"Otaútattán, Otaûtattea, as otattan.",,p186
Pa,"Pa, a word of denial. Patzi, there is no fish. Joined with nouns, it means to make, as pacha-och, to make a grave.Also to do ary thing, as paûcho, to louse; but mixed with other words it means to cause to do, as Papiech, to cause to fight unjustly. Pabórra, to pacify; or to suspect or accuse any one, as pachab, to accuse of theft. Pachod, one who raises an unjust suspicion.",表否定,p186
pa,"pina. papa. aû, pass. a-en, ina, inoa-en, to rub a sore limb with a warm handkerchief, &c.",用溫暖的手巾搓揉很痠的四肢,187
pû-ach,"pina-ach, papa-ach, ipa-ach.-a, ipa-ach, inipa-ach, inoipa-ach, to roast",烤,187
pa-aga,"pi, pa, a-aga, a-agan, ina-aga, ino-agûn, to cough, a-aga, a cough",咳嗽,187
paard,"pi, pa, aarda, aarden, inaard, inoaarden, the binding up of the hair of females. Aard, the tresses of women; also the binding of the same",女生綁起的頭髮,187
pûarpa,"pinûarpa, papûarpa, aarpa, ipa-arpa,
ûarpanni, inûarpan, inoaarpanni, to join one's self to any society. Cho Abasshe pinaarpó Batshekan, those of Abasshe have joined with Batshekan. Paarpa o dippi, to weld iron together. Nota, paarpa requires that the ends come over or into one another. See summasoom.",加入任何的社群,187
pas,"pinas, papas, bûssa, bûssin, binas, inobassin, to stop one in any thing; to dissuade; also to carry a message. Tomada cho pinûas o assabûn, inachas ja o badda ernerren, who has informed the village, that the men of Favorlang have been beaten? Pabûs, trans. babas, a message. Ma-ababas, a messenger.",阻止某人做某事；勸退；傳遞訊息,187
pa-arroos,"Takeis, pi, pa, a-arrosa. Patûttotûtto, terneren, pi, pa, atuttotûttoa, the trembing and shaking of one, when slung in a sling.",顫抖及搖晃〈指當在吊索上搖晃的樣子〉,188
pa-as,"(let the last a be scarcely heard), pinass, papû-as, a-ûssa, to sneeze; a-ûssen, inû-as, ino-a-assen, a sneezing.",打噴嚏,188
pûspot,"pinaspot, papaspot, ipaspotta, ipaspot, inipaspot, inoipaspot, to occasion any one work or trouble, to bother, trans. from maspot, which see.",招致給某人工作或麻煩,188
pûba,"pinaba, pûpaba, abaya, to give to understand, to inform, to reveal, to tell, to proclaim.Trans. from maba, which see. Parti. abaijen, inabaijen, inoabaijen, abanni, this participle is used with respect to the person who is informed; ipaba, inipaba, with respect to the business which is told.",告知；揭曉；告訴；聲稱,188
pa-attut,"pina-attat, papa-attat, to stammer, written Pa-at-at. Ternere, pa-ap-ap. Takeis, pamaama, imp. at-atta.",口吃；結巴,188
pabach-ich,"pinabach-ich, papûbach-ich, abach-icha, abach-ichen, inabachich, inoabach-ichen, to unbend, to unteam. From ipabach-icha, inipabachich &c. trans. from Mabach-ich, which see.",弄直；放鬆,189
pabarrabarra,"pinabarrabarra, papabarrabarra, ipabarrabarra, inipabarrabarra, to strip one naked. Trans. from parrabarra, which see.",使某人脫光衣物,189
pabechab,"pinûbechab, papabechab, abechabba, abechabben, inabechabben, inoabechabben, to cover anyone with a coverlet, also to cover one's self. Bûbechap, a covering.",以棉被〈或類似物〉蓋住某人；蓋住自己,189
pabarras,"pinabarras, papabarras, ipabarasa, to let loose. Trans. from parras, which see. Ma-ababarras, a redeemer. Ca Christus paga ma-ababarras o babosa, Christ the redeemer of mankind. Babarras, redemption.",放鬆；弄鬆掉,189
pabûsso,"pinûbasso, papabasso, ipabassoa, ipabasso, inipabasso, to make strings. Trans. from passo, which see.",做細繩,189
pabassoes,"and pabasoes, see Passos.",,189
pûbich-i,"pi, pa, abich-ia, abichi-in, inabich-i, to sparkle with water, as pashipie; abichi, nom. a sprinklling.",用水撒,189
pabóas,"pinaboas, papaboas, ipabóasa, ipaboas, inipaboas, inoipabóas, to remove. Trans. from maboas, which see.",移除,189
pûbot,"pinabot, papabot, abotta, abottan, inabottan, inoabottan, to put on shoes (this with respect to the feet, but with regard to the shoe, abot, inabot, inoabot;) ipabotta, ipabot, &c.",穿上鞋子,190
pachanach,"pinûchanach, papûchanagh, to place the arrow in the bow. Ipachûn-agha; changed, with regard to the arrow, into ipachanagh, inipachanagh, inoipachanagh: but with respect to the bow, achan-aghan, inachan-aghan, inoachan-aghan, see the root chûmanagh.",把箭放在弓上,190
pûcharod,"pinacharod, papacharod, acharoda, acharoddan, inacharoddan, inoacharoddan, to put on stockings, trans. from chummarod, which see.",穿上襪子,190
pacheo-ach,"pinacheo-ach, papacheo-ach, cheo-acha, cheo-achen, chineo-ach, inocheo-achen, to come again, to return, to give back. Also applied to the mind, when it retires into itself, or withdraws itself from any thing.",回來；返來；給回；〈心靈〉退卻；抽離,190
pachip,"pinachip, papachip, achippa, achippan, inachip, inochipan, ipachippa, ipachip, inipachip, inoipachip, to add to. Chachip, an addition, nom.",加上,190
pabechibechi,"pinabechibechi, inopabechibechi, abechibechia, inabechibechi, inoabechibechi, the person for whom; abechibechian, inabechibechian, inoabechibechian, to swing any thing backwards and forwards, Act. ipûbechibechia, ipabechibechi, inipabechibechi, inoipabechibechi.",來回搖晃,190
pabórren,"pi, pa, ipaboorena, the flowing of blood, act. borren ja tagga, to let blood.",血流,191
pachabbechab,"pi, pa, achabbechûbba, said of the birds as they move their wings in the flight, and thus beat the air. Chabbechab, nom. subat.",描述鳥類飛行時振動翅膀，拍擊空氣,191
pachichichichi,"pi, pa, achichichichia, to hiss, as hot iron put into the water.",當熱鐵放進水中的嘶嘶作響聲,191
pachiech,"pinûchiech, papûchiech, achicha, achichen, inachiech, inoachichen, to roast. Trans. from chummiech.",烤,191
pachirrûp,"pi, pa, achirrabba, achirrabban, inachirrabban, to insert any thing in between where things adhere; can be suitably employed for ingrafting, or incorporating.",在事物黏接出插入任何東西,191
pachitchit,"pi, pa, achitchitta, achitchitten, inachitchit, to beat as the arteries or the heart. Ma-achitchit ja oggach, an artery.",像是動脈或是心臟那樣跳動,191
pûchote,"pinûchote, papûchote, chotea, chotein, chinote, to punish.",處罰,191
pad,"pinûd, papûd, badda, baddaan, binaddan, linen, or such like stuff.",麻，或相同事物,192
padaat,"pi, pa, adûata, adatten, inadûat, inoadûatten, ipadûata, ipadaat, inipûdaat, inoipadaat, to do any thing early in the morning, as chûmda. Padadaat, intende. nom.ûdaat betimes.",在早上做〈任何事〉,192
pûdach-o-dach-o,"pinadûch-o-dûch-o, papadûch-o-dûch-o, adach-o-dach-oa, to wander through the country.",穿梭在鄉野間漫步,192
padûkkodûkko,"pinadûkkodakko, papadakkodakko, adakkodakkoa, to nod with sleep.",點頭睡覺,192
paddabo,"pinûddabo, papûddabo, addabóa, addaboan, inaddabóan, inoaddaboan, to keep one's self entrenched or secreted. Ma-addabo, a concealer.",使自己掩藏起來,192
paddach,"pinaddach, papaddach, addûcha, to end, to leave off.",結束；離開,192
pûddat,"pinaddat, papaddat, addada, addadden, inadadden, inoadadden, to hew or cut any thing into pieces.",劈或切成碎片,192
paddam,"pinûddam, papûddam, addammen, inaddûman, inoaddamman, to eat the paddy, or rice, in the field, as is sometimed done by wild animals.",如同野獸，在田園中吃稻、米,192
paddidi,"pinûddidi, padûddidi, addidia, to shiver as one in an ague. Paddidi, a shien, to chatter with the teeth.",像打冷顫般顫抖,192
paddo-oddo-ol,meagre,瘦弱的；貧乏的,193
pûddik,"pi, pa, addikka, to over... long grass hangs over the pa...",,193
paddûppo,"pinûddopo, papûddopo, addûppoa, to stoop forward; als ... forward with the head resting ... thing; thus addopóan,
inaddopoan, inoaddopoan. Paaddûppo, imp. ipaaddûppoa. Favorlang, paggûppo, trans. ipaagguppoa.",向前屈膝,193
padirdir,"pinadirdir, papadirdir, adirdirra, to tremble, act. from Madirdir.",顫抖,193
padóch,"pinadoch, pûpadoch, adóch-a, adochen, inadoch, inoadochen, ... a rap, as at the door. Padóch-doch, to rap frequently.",,193
padûllo,"pi, pa, adûlloa, adûlloan, inadûlloan, inoadûlloan, to strive ... who shall finish first.",,193
paga,"to be, to have; it is also ... es pa, and in this sense is do ... pagaga, by no means, pret. ... fut. pûgaga, imp. ûga-a; item ... when, without question. Pa ... rosono de bonna, there is a ... field. Paga means quantity.",是；擁有,193
paga,"pi, pa, ipaga-a, ipaga, ... to cause to be. e.g. ja alli oa inipaga, is it not you that has done it? that is, have you not caused it to be? Ga, essence, a being, Agaijan, the place where any thing is, as agaijan ota Deos, contradicted from agaûta Deos, the place where God is.",,193
pagagagaga,"pi, pa, agagagaga-a, pagagagaga-o-to, to gurgle with water.",用水咯咯作響,194
pagalgal,"pinagalgal, papagalgal, agalgalla, to pant.",喘息,194
paggai,"a little time, a minute.",短暫的時間、一分鐘,194
paggeas,"pinaggeas, papaggeas, aggeassa, to strech one's self, as yawners do",伸展身體〈類似[伸懶腰〉,194
pagasan,"pi, pa, agasanna. agasannan, inagasan, inoagasannan, to love. Agasan, desire, love. Ma-agasan, a lover.",愛,194
paggi,"pinaggi, papaggi, aggia, the snarling of dogs.",狗的咆哮聲,194
pagoegoe,"pinagoegoe, the ranging of the wind and sea, the rumbling of thunder or of the belly. Pagoegoegoegoe, intd.",風或海的狂暴；轟雷聲；肚子轟隆作響,194
pagorgor,"pi, pa, agorgorra, to snore.",打鼾,194
pagotgot,"pi, pa, the cooing of doves.",鴿子的咕咕聲,194
paichiech,"pi, pa, the pain of the stomach, imp. aichiecha, pass. aichiechen, inaichiech, inoaichiechen.",胃痛,194
paicham,"in act. trans. imp. aichamma babosa, aichamman, inaichamman, inoaichamman,
ipaichamma, pas. pichamman, inichamman, inoichûmman, ipaicham, inipaicham, inoipûìcham, to drink, to offer to drink, aichan, nom. a drinking; ûichaman, a drinking cup.",喝；提供喝的,194
paichasarra,"pinaichasrra, papaichasarra, for the imp. people say, sarra o kagil, to sleep.",睡覺,195
paies,"pinaies, papaies, aisa, ipaies, inipaies, inoipaies, to put away.",放到旁邊；丟棄,195
paya,"pinaya, papaya, aya, ayanni, inayanni, inoayanni, to lean backwards.",往後傾,195
pûyach,"pinûyach, papayach, ayacha, ayachen, inayach, inoayachen, whence iachen, ipayach, iniachen, inipayach, inoipayach, to make dirty.",弄髒,195
payoch,"pinayoch, papayoch, ayocha, to turn back, also ayochan, inayochan, inoayochan, to give back.",轉回去,195
paikiek,"pinaikiek, papaikiek, to crack.",裂掉,195
pakietkiet,"pi, pa, idem.",裂掉,195
paikap,"trans. from Mikkap, which see.",抓住；劈開,195
pûilieb,"pinûilieb, papûilieb, ailieba, ailieban, inailiban, inoailiban, to call, to fetch any one. Paailieb, imp. ipaûiliba, trans. nom. ailieb, a calling.",叫；抓住某人,195
pailielieb,intend.,打算,195
paior,"pinaior, papaior, aiorra, aiorren, inaiorren, inoaiorren, to precede any ... to shew the way; the way, aiorran, inaiorran, inoaiorran.",,195
pairas,"pinairas, papairas, airasû, ipairasa, to be stubborn in any thing, ipairas, inipairas, inoipairas, as pàsies, nom. airas, as asies.",固執,196
pairoos,"trans. from meroos, which see.",使坐下,196
pais,"pinais, papais, aisa, aisan, inaisan, inoaisan, to pester.",使煩惱,196
paisis,"pi, pa, to whistle thro' the teeth.",透過齒縫吹口哨,196
pûita,"pinûita, papûita, ipaita, to show; ... ? ipaita, inipaitû, inoipaita; to ... ? aitanni, inaitanni, inoaitanni, trans. from Mita, which see.",,196
pajus,"pi, pa, bajussa, bajussen. binûjús, inobajûssen, to blow a gale, to storm. Pabajûs, trans. Bajûs, nom. a storm.",吹狂風,196
pakaqûa,"pinakaqûa, papakaqûa, aka-qua-a, akaqûa-an, inakaqûa, inoakaqûa-an, to do any thing moderately, ... ipakaqua-a, ipakaqua, inipakaqûa, inoipakaqûa, nom. qûa, a little, moderate, akaqûa, diminution.",謹慎地做某事,196
pakaûkaû,"pinakaûkaû, papakaùkaû, akaûkaûa, akaûkaûan, inakaûkaûan, inoûkaûkaûan, to bawl out loud.",大聲叫喊,196
pakéas,"pi, pa, akeassa, akéassan, inakeas, inoakéassan, to stick out one leg behind, as kûmmitta.",將一隻腳往後伸,196
pakeas,"pi, pa, ipakeassû, ipakeûs, inipakeûs, inoipakeas, to do as above, nam. akeûs, the sticking out of the leg.",將一隻腳往後伸,197
pakibokibo,"pinakibokibo, papakibokibo, akibokiboa, to flutter, trans. from kummibokibo, which see.",使煩惱,197
pakikekikke,"pi, pa, akikkekikkea, to swarm, as pakikkekikke tsi. binnan.",聚集,197
pâkarot,"pi, pa, imp. akkarótta, to crack. Pakarot, trans. nom. karot, cracked.",碎裂,197
pakiliekille,"pi, pa, imp. akillekillea, to rattle, but so as that a ringing is heard, as from money, or the rings on the arms. Differs from paseerseer.",以搖動的方式讓鈴響被聽到,197
pakkio,"pinakkio, papakkio, akkio, akkioa, the cry of deer.",鹿的叫聲,197
pakkol,"pi, pa, akkolla, to dig deep.",挖深,197
pakobos,"pinakobos, papakobos, akobossa, akobossan, inakobossan, inoakobossan, to hunt with nets, also ipakobossa, ipakonos, inipakobos.",用網捕獵,197
pakótkot,"pi, pa, akotkótta, the cackling of hens.",母雞咯咯叫,197
pala,"(let the last letter be scarcely heard) pinala, papûla, ipûla, alûnni, inalanni, inoalanni, to say, to tell. Ala, nomen, a saying. This noun is compounded of karri, as karri ala, and mau, as mau ala, to converse together.",說；講,197
pala,"trans. from Malla, which see.",,198
palûblobg,"pinalablabg, papalûblabg, alablûbba, alablabban, inalûblabban, inoalablabban, to fan with a fan.",用扇子搧,198
palachach,"pinalachach, papalachach, alachacha, alachachen, inalachach, inoalachachen, the opposite of Padidden. See Malachach, of which this is the transitive.",鬆脫,198
palachach,"means also to make any thing loose, to put loosely together; but then ipalachacha, ipalachach, inipalachach, inoipalachach.",使鬆脫；鬆鬆地放在一起,
palalat,"pinalalat, papalalat, balabalata, binalabalat, balalabalatten, iiiobalabalatten, to put things in a row, or side by side. Palalat ja se malam o bausies; it differs from Palat, see Pûlalat, pinûlalat, pûpalalat, ipalalatta, ipûlalat, inipûlalat, inoipalalat, to arrange in a row, add thereto, balûlat, the noun.",把東西放成一直排,198
palapilapies,"trans. from lûmmapilapies, of malapilapies, which see.",使跪下,198
pûlat,"pinûlat, papûlat, balatta, balatten, binalat, inobalatten, as palûlat, except that palat, extends itself to the conveying, but taken transitively, ipalûtta, ipalat, inipalat, add thereto, balat, the noun.",把東西放成一直排，但有涉及運送方面,198
palaûlaub,"pinalaûlaûb, papalaûlaûb, laûlaûba, laûlaûban, linaûlaûban, &c.",,199
pallûkkûm,trans. from Mallakkûm,,199
pallidóllido,"pallidóllido, pinallidóllido, papallidóllido, allidollidóa, allidollidoan, inallidollidóan, inoallidollidoan, to run backwards and forwards, spoken also of a crooked way, pallidollidoa taran.",前後跑步,199
pallil,"pi, pa, allilla, pas. allillen, inallil, inoallillen, as maûchûs, matsipi, to roar and tear. Pallillil, intend. pallil.",吼叫和撕裂,199
palil,"trans. allil, a noise.",,199
pûllo,"pi, pa, imp. ûlloa, to reach to, to reach any thing to any one, is also used for the giving of a pledge of marriage, as &c. as the Formosans are sometimes accustomed to do. Palo, trans. nom. allo, a reaching out, a pledge, which is given as a pledge of acon tract.",觸及；給結婚的誓約,199
pûllossa,"pinallossa, pûpallossa, allossa, allossanni, inallossanni, inoallossanni, to discover or reveal a little to any one.",發現或是揭示〈某事〉給某人,199
palololullo,"pinalololullo, papalololullo, allolulloan, inalololulloan, inoalololulloan, to make a noise, as by the feet of those who tread hard, or as from a shower of rain; poeple say, palololullo ja oetas.",用力跺腳以製造噪音,199
pammamma,"pinamamma, papûmamma, ûmamma, to cover a field with grass; what ? amammamanni and amammayan, inamammûnni and inamammayan, inoamammanni and inoammammayan, wherewith? ipàmamma, inipamamnia, inoipamamnia.",,200
pameûû,"ameeûa, the mewing of cats.",喵喵叫,200
pamoggimoggi,"pi‚ pa‚ amoggimoggia, amoggimoggien, inamoggimoggien, inoamoggimoggien, to murmur, to mumble. Amoggimoggi, a murmuring. Ma-amoggimoggi, a murmurer.",呢喃,200
pana,"some whither, to some place, pana Baziekan, to Batsjekan, sometimes de is added, as pana de Taiwan, to Taiwan. It is also a verb, and has in the in praet. pinana, in fut. papûna, in imperat. ûna, act. ipana, trans.",到,200
pan,"pinan, pûpan, banna, bannan, binannan, inobannan, to stop up with earth. Pûban, pinaban, papaban, ipabanna, ipaban, inipaban, inoipaban, to do thus; baban, a dam.",用泥土堵住,200
pannab,"pinannab, papannab, anabba, what ? annabben, inannab, inoannabben, where with ? ûnnaban, inannaban, inoannaban, the washing of the hands,",,200
panno,"pinûnno, pananno; annoa, to dress one's self, what ? annoan, inûnnoan, inoannoan, wherewith ? ipanno, inipanno, inoipanno. Pano, trans.",穿上衣服；打扮自己,200
pannonnononno,"pi, pa, the singing of musquitoes.",蚊子嗡嗡叫,201
pano,"pinano, papano, to clothe another; what or who ? anoan, inamoan, inoanoan; wherewith ? ipûno, inipûno, inoipûno; see panno, a little above.",幫/使他人穿衣服,201
panoggonoggo,"pinanokkonokko, papanokkonokko, annokkonokkoa, annokkonokkoan, or anni, or aijan, inanokkonokkoan, inoanokkonokkoan, to intreat. Annoggonoggo, an intreaty.",懇求,201
pa-oa-oa,"a-oa-oû-a, the cry of crows.",牛的叫聲,201
paa-óabi,"(the first a short, to distinguish it from Pû-oabi, to cause to sow;) pina-oabi, papa-óabi, a-óabia, a-óabi, inaoabi, to sow the fields; thus ûo-abian, inaoabian. Babósa, pa-oabi, the sower; adda ipa-oûbi, it is sown; Bonnaaoabian, it was sown. Aoûbi, a sowing. Aoûbian, aoabi aijan, the sowing season, or place.",播種,201
pa-obo,"pina-obo, papa-obo, a-obóa, a-ó-boan, inaóboan, inoa-óboan, to clue, to clue up, to draw up into a clue; also ipaóboa, ipa-obó, inipa-obo.",提供線索,201
paos,a pairing.,一對,201
papacha,an oyster.,牡蠣,202
papadda,"pinapapûdda, papapûdda, apapûdda, apapaddan, inipapaddan, inoipapaddan, to wash the feet, wherewith ? apapaddanni, or ayan, inapapaddanni, inoapapaddanni.",洗腳,202
papappa,"from Mûpappa, which see.",矮；短,202
papil,"from Mapil, which see.",使碎成數片,202
papillepillik,"apillepillikka, to clap together, as two hands, two planks, &c.",拍合〈拍掌〉,202
para,"pinûra, papara, arû, arûn, inara, inoaran, to be with any one, to accompany; araosse ta Cabba oe, does Cabba keep company? Ara, a comrade, pas. aran, inaran, to be accompanied: this passive is used with respect to those who attend on any one, as Takaba aran o Takalla, i.e. Takabba is waited on by Takala; or Takaba inara o icho, i. e. Takabba is attended by him; and aran, is also taken for the person who serves, that is the servant and maid.",跟〈某人〉在一起；陪伴,202
parab,"pinarab, paparab, iparaba, to impregnate, to get with child: see rummab, the transitive of which this is, and means, to impregnate, or to cause a woman to be pregnant, while rummab, betokens the receiver. And raben, the child; rinab is received.",懷孕,202
paraba,"pinaraba, papûraba, ara, aran, inara, inoaran, from Para, to adopt as a child, also to give up for that purpose; in which case it is ipûraba-a, iparaba. Paraba, act. and trans. The child rûmmaka, takes another for his father. The real father lets the child be taken by another. Paraba choa, refers to those who take the child; it is also said Paraba, to take a child. An adopted father raba amosjiem. The real father iparabo. The child is called by the adopten father, aran.",領養小孩,203
parûllibal,"pinarûllibal, paparûllibal, baralliballa, barûllibal, binarallibal, inobarallibal, to put out linen, &c. to dry. But has not such an extensive meaning as porra; pabarallibal, to do thus.",弄乾亞麻,203
pûrapies,"from rûmmapies, which see.",犯罪,203
parar,"from mûrar, which see.",平凡的；低下的,203
parid,"pinarid, papûrid, aridden, inarid, inoaridden, the place or part from whence, ariddan, inariddan, inoariddan, to dry up, activ. see Marid, neutr.",弄乾,203
pararar,"from Marara, which see.",照亮；使明亮,203
paraût,"from rûmmaût, which see.",待在外面,203
paraûrat,"from rûmmaûrat, which see.",在外面久待,203
pardosan,"pinardosan, papardosan, to choke, as those do, who take the food or drink the wrong way. Paardosan, ipinaardosan, papaardosan, ipaardosana, &c. to do so.",嗆到〈以不正常的飲食方式才嗆到〉,203
pûresshi,"pi, pa, imp. ûresshia, aresshi-in, inaresshi, inoaresshi-in, pas. iparesshi, to set up to fight, aresshi, nom. a setting on. Ma-aresshi, one who sets on.",準備戰鬥,204
pariaût,"pinûriaut, papûriaût, ariauta, ariaûtan, inariaut, inoariaut, to fill, to make full. Also to let fill, in which case ipariaûta, ipariaut, ariaut, nom.",充滿,204
pariggo,"as rûmmiggo, pinariggo, papariggo, ariggoa, ariggoan, inariggo, inoariggoan, ariggoan: see Mariggo.",,204
parikoriko,"pinatikoriko, paparikoriko, rikorikoa, rikorikoan, rinikorikoan, to share any thing, to wave it backwards and forwards, or let such be done, in which case it is iparikorikoa, iparikoriko, iniparikoriko, &c.",分享；前後揮擺,204
parikak,see rûmmikak.,大步跨走,204
pario,"pinario, papûrio, arióa, arióan, &c. to make good. Mario, arió, an improving, a making good.",變好；改善,204
parrióriot,"pi, pa, imp. arrióriotta, from Parriot, to see below; is said of ivy, &c. which climbs up long sticks or trees, and embraces them.",纏繞,204
paroch-i-boch ja boesûm,a clear sky.,清澈的天空,205
parokail,"pi, pa, arokaila, pass. arokailen, inarokail, to lay the hands or feet over each other.",把手和腳放在彼此〈身上〉,205
parne,"pinarne, paparne, iparnea, ipûrne as rûmne. Paûrne, see rûmmene.",使沉浸,205
pûroob,"aroba, pass. aroban, inaroban, inoaroban ja bonna, to strew, to spread out dry things.",散佈乾的東西,205
pûrrorro,"pinarorro, paparrorro, arrorroa, arrorroan, as rûmmorro, to assemble. Parorro, pinarrorro, papûrorro, ipûrorroa, ipûrorro, iniparorro, inoiparorro, to do thus. Mind that it must be written Parorro, act. from Mûrorro.",組合；聚集,205
pûrrar,"pinarrar, paparrar, arrûrra, arrarran, inarrarran, inoarrarran, to hedge round, arrar, a hedge.",用籬笆圍住,205
parrabûrra,"pinarrabarra, paparrabûrra, barrabarran, barrabarrûan, binarrabarraan, inobarrabarraan, naked, to make one's self naked.",裸體的；使某人裸體,205
pûrrach,"pi, pa, iparracha, iparrach, to commit fornication. Shiem parrach, a bastard; rini pûrrach, a bee that is put in a wrong place outside the nest.",通姦；亂倫,205
pûrras,"pinarras, paparras, bûrrasa, bûrrasan, binarrasan, to let go, to free, to put out of one's hand, to set down, in which case it is iparrasa, &c. Ma-ababarras, a redeemer. Ca Christus paga ma-ababarras o babosa, that is, Christ is the Saviour of mankind.",解放；鬆手,205
parribrieb,"pinûrribrieb, to shake, arribrieba, all kinds of shaking.",搖動,206
parri,"trans. from Marri, which see.",,206
parried,"pinûrried, paparried, arrida, arridan, inarridan, the superstitious use of old enchantments.",古老魔咒的迷信用法,206
pûrrinon,"pinarrinon, paparrinon, arrinoa, to quarrel, to do that which cannot be named; rattirrien, idem.",爭吵,206
pûrro,"pinarro, papûrro, barroa, bûrroan, binarro, to bundle up, to make up into bundle or sheaves. Pabarro, pinabarro, papabûrro,i pabûrroa, ipabarro, &c. to do thus. Barro, a sheaf.",把...綑在一起,206
pûrriot,"pinarriot, paparriot, ariotta, ariottan, inarriottan, to wrap up, the same as rumniot, but from another root.",把...包裹起來,206
parripiéripi,"pi, pa, imp. arripieripia, pas. parripieri-in, pinarripieri-in, with a turn of the eye, to see anything dimly.",隱約地看到...,206
parriparri,"pinarriparri, inoparriparri, parriparria, parriparri-in, pinarriparri, inoparriparri-in, to bore a hole.",鑿一個洞,206
parripieripit,"pi, pa, arripieripitta, pass. arripieripitten. inarripieripit, to cackle, to jabber. Paripieripit, trans. arripieripit, a prating, a babbling. Ma-arripieripit a babbler.",含糊不清地說話,206
pûrroa,"pinûrroa, papûrroa, arroa, arroan, inarroan, inoarroan, to dig out.",挖出,207
pûrt,"pinart, pûpart, arta, arten,inart, inoarten, to bruise or break any thing, as a reed, or such like.",弄傷；弄壞,207
